event_id,area_peril_id,intensity_bin_index,probability
20,12181,1,1
22,30542,4,1
27,5566,1,1
45,27473,2,1
46,18233,3,1
49,19777,4,1
53,14203,2,1
53,15921,1,1
54,9715,6,1
54,3878,2,1
63,33417,5,1
63,32278,2,1
77,1535,10,1
77,1535,10,1
77,464,8,1
77,3712,4,1
77,7540,3,1
80,27041,6,1
80,29542,2,1
82,7542,3,1
82,9056,1,1
90,13273,5,1
90,18078,2,1
91,27042,1,1
99,1257,6,1
105,19161,5,1
105,19172,1,1
109,2557,1,1
112,165,11,1
124,33112,2,1
137,21306,5,1
149,1829,6,1
149,4425,5,1
149,5179,3,1
149,5899,1,1
151,2517,3,1
151,322,3,1
151,196,3,1
151,1409,2,1
151,6783,2,1
151,7890,1,1
152,12500,10,1
152,20231,9,1
152,17163,4,1
153,34396,1,1
153,35805,1,1
153,37020,1,1
154,12351,9,1
154,12205,2,1
154,29766,2,1
183,2972,3,1
183,4059,1,1
203,34617,5,1
203,35856,4,1
216,2555,3,1
216,3736,2,1
223,13117,6,1
223,15599,5,1
223,14523,4,1
223,14053,3,1
223,20085,3,1
223,17477,1,1
232,35856,6,1
232,35800,6,1
232,34852,3,1
232,33358,2,1
259,9545,2,1
259,9545,2,1
278,26147,5,1
278,25107,4,1
278,15314,2,1
278,1422,2,1
278,33763,3,1
280,1406,1,1
280,2389,1,1
288,21148,1,1
294,2026,5,1
294,1664,2,1
294,1850,1,1
295,3702,8,1
295,7204,5,1
295,9059,2,1
295,22536,1,1
300,28792,4,1
310,300,1,1
310,27326,4,1
310,28796,1,1
309,33299,8,1
309,32719,5,1
309,32328,4,1
309,31851,3,1
317,24364,8,1
317,16566,2,1
317,33415,2,1
321,17307,5,1
321,19771,4,1
321,21766,2,1
336,18095,1,1
341,31459,1,1
342,18231,1,1
345,35856,1,1
347,2014,8,1
347,1644,8,1
347,3166,7,1
347,4801,3,1
348,34311,4,1
352,23148,9,1
352,21637,3,1
358,27030,11,1
358,29674,4,1
365,21610,7,1
365,17325,2,1
367,27791,4,1
367,32951,1,1
